Case,Modality,Feature Class,Feature Name,Value
HGG_Patient1,Flair,original,SmallAreaEmphasis,0.5724376588176417
HGG_Patient1,Flair,original,SmallAreaHighGrayLevelEmphasis,117.1357599602726
HGG_Patient1,Flair,original,SmallAreaLowGrayLevelEmphasis,0.00629718667335986
HGG_Patient1,Flair,original,ZoneEntropy,5.6757475019326495
HGG_Patient1,Flair,original,ZonePercentage,0.09105006645990253
HGG_Patient1,Flair,original,ZoneVariance,2343.2284203858608
HGG_Patient1,Flair,original,Busyness,0.832153601391842
HGG_Patient1,Flair,original,Coarseness,0.002472942869226722
HGG_Patient1,Flair,original,Complexity,121.91248663562068
HGG_Patient1,Flair,original,Contrast,0.00884381269084195
HGG_Patient1,Flair,original,Strength,1.0932426971537628
HGG_Patient1,T1,original,Elongation,0.3323803674167271
HGG_Patient1,T1,original,Flatness,0.17979012477577555
HGG_Patient1,T1,original,LeastAxisLength,15.539236626169968
HGG_Patient1,T1,original,MajorAxisLength,86.4298672997177
HGG_Patient1,T1,original,Maximum2DDiameterColumn,44.204072210600685
HGG_Patient1,T1,original,Maximum2DDiameterRow,66.75327707311455
HGG_Patient1,T1,original,Maximum2DDiameterSlice,62.64982043070834
HGG_Patient1,T1,original,Maximum3DDiameter,80.77747210701756
HGG_Patient1,T1,original,MeshVolume,4015.5416666666665
HGG_Patient1,T1,original,MinorAxisLength,28.727591048859136
HGG_Patient1,T1,original,Sphericity,0.23257490052796545
HGG_Patient1,T1,original,SurfaceArea,5253.120604289723
HGG_Patient1,T1,original,SurfaceVolumeRatio,1.3081972596365512
HGG_Patient1,T1,original,VoxelVolume,4514.0
HGG_Patient1,T1,original,10Percentile,410.0
HGG_Patient1,T1,original,90Percentile,520.0
HGG_Patient1,T1,original,Energy,967092393.0
HGG_Patient1,T1,original,Entropy,2.843242839471093
HGG_Patient1,T1,original,InterquartileRange,52.0
HGG_Patient1,T1,original,Kurtosis,3.4442004467064167
HGG_Patient1,T1,original,Maximum,637.0
HGG_Patient1,T1,original,MeanAbsoluteDeviation,33.570682084133864
HGG_Patient1,T1,original,Mean,460.82299512627384
HGG_Patient1,T1,original,Median,458.0
HGG_Patient1,T1,original,Minimum,324.0
HGG_Patient1,T1,original,Range,313.0
HGG_Patient1,T1,original,RobustMeanAbsoluteDeviation,22.552561132264866
HGG_Patient1,T1,original,RootMeanSquared,462.8637890780599
HGG_Patient1,T1,original,Skewness,0.21548464981988238
HGG_Patient1,T1,original,TotalEnergy,967092393.0
HGG_Patient1,T1,original,Uniformity,0.16998295462018526
HGG_Patient1,T1,original,Variance,1885.0544025489348
HGG_Patient1,T1,original,Autocorrelation,45.86895384426853
HGG_Patient1,T1,original,ClusterProminence,347.5971758819732
HGG_Patient1,T1,original,ClusterShade,4.28173026432383
HGG_Patient1,T1,original,ClusterTendency,10.550231375749085
HGG_Patient1,T1,original,Contrast,1.0010365990712917
HGG_Patient1,T1,original,Correlation,0.8268755952944767
HGG_Patient1,T1,original,DifferenceAverage,0.6930165919591673
HGG_Patient1,T1,original,DifferenceEntropy,1.4455851925816439
HGG_Patient1,T1,original,DifferenceVariance,0.5064803693933991
HGG_Patient1,T1,original,Id,0.698790494140338
HGG_Patient1,T1,original,Idm,0.6838026960931862
HGG_Patient1,T1,original,Idmn,0.9949909888518298
HGG_Patient1,T1,original,Idn,0.9550435886782365
HGG_Patient1,T1,original,Imc1,-0.3152875165674678
HGG_Patient1,T1,original,Imc2,0.9026867772500553
HGG_Patient1,T1,original,InverseVariance,0.4770880583940462
HGG_Patient1,T1,original,JointAverage,6.5938968495287895
HGG_Patient1,T1,original,JointEnergy,0.05956293701660069
HGG_Patient1,T1,original,JointEntropy,4.696607296837443
HGG_Patient1,T1,original,MCC,0.8560581179384766
HGG_Patient1,T1,original,MaximumProbability,0.1413606415285903
HGG_Patient1,T1,original,SumAverage,13.187793699057579
HGG_Patient1,T1,original,SumEntropy,3.7041475771988104
HGG_Patient1,T1,original,SumSquares,2.8878169937050946
HGG_Patient1,T1,original,DependenceEntropy,6.662124906626967
HGG_Patient1,T1,original,DependenceNonUniformity,311.2326096588392
HGG_Patient1,T1,original,DependenceNonUniformityNormalized,0.06894829633558688
HGG_Patient1,T1,original,DependenceVariance,18.17995429568895
HGG_Patient1,T1,original,GrayLevelNonUniformity,767.3030571555162
HGG_Patient1,T1,original,GrayLevelVariance,3.1143941194911946
HGG_Patient1,T1,original,HighGrayLevelEmphasis,51.43752769162605
HGG_Patient1,T1,original,LargeDependenceEmphasis,85.12671688081524
HGG_Patient1,T1,original,LargeDependenceHighGrayLevelEmphasis,3751.1065573770493
HGG_Patient1,T1,original,LargeDependenceLowGrayLevelEmphasis,2.4652565054062774
HGG_Patient1,T1,original,LowGrayLevelEmphasis,0.026867264498246904
HGG_Patient1,T1,original,SmallDependenceEmphasis,0.0744816443592476
HGG_Patient1,T1,original,SmallDependenceHighGrayLevelEmphasis,5.1255509487406155
HGG_Patient1,T1,original,SmallDependenceLowGrayLevelEmphasis,0.0018770707419896795
HGG_Patient1,T1,original,GrayLevelNonUniformity,525.4696109918797
HGG_Patient1,T1,original,GrayLevelNonUniformityNormalized,0.16074564526064244
HGG_Patient1,T1,original,GrayLevelVariance,3.3344422104327758
HGG_Patient1,T1,original,HighGrayLevelRunEmphasis,53.54474748112305
HGG_Patient1,T1,original,LongRunEmphasis,2.5454307345419704
HGG_Patient1,T1,original,LongRunHighGrayLevelEmphasis,123.58834859546472
HGG_Patient1,T1,original,LongRunLowGrayLevelEmphasis,0.07016032457869002
HGG_Patient1,T1,original,LowGrayLevelRunEmphasis,0.02624900875317681
HGG_Patient1,T1,original,RunEntropy,4.033127818599345
HGG_Patient1,T1,original,RunLengthNonUniformity,1904.5526725438629
HGG_Patient1,T1,original,RunLengthNonUniformityNormalized,0.5770860877355279
HGG_Patient1,T1,original,RunPercentage,0.7237653795030844
HGG_Patient1,T1,original,RunVariance,0.5927652775648045
HGG_Patient1,T1,original,ShortRunEmphasis,0.7852393772216966
HGG_Patient1,T1,original,ShortRunHighGrayLevelEmphasis,43.45932736459947
HGG_Patient1,T1,original,ShortRunLowGrayLevelEmphasis,0.020147437153553164
HGG_Patient1,T1,original,GrayLevelNonUniformity,51.53521126760563
HGG_Patient1,T1,original,GrayLevelNonUniformityNormalized,0.1451696092045229
HGG_Patient1,T1,original,GrayLevelVariance,5.064026978774052
HGG_Patient1,T1,original,HighGrayLevelZoneEmphasis,72.07323943661972
HGG_Patient1,T1,original,LargeAreaEmphasis,3395.2957746478874
HGG_Patient1,T1,original,LargeAreaHighGrayLevelEmphasis,144337.51830985915
HGG_Patient1,T1,original,LargeAreaLowGrayLevelEmphasis,88.95158082744811
HGG_Patient1,T1,original,LowGrayLevelZoneEmphasis,0.02550934770840276
HGG_Patient1,T1,original,SizeZoneNonUniformity,105.05633802816901
HGG_Patient1,T1,original,SizeZoneNonUniformityNormalized,0.29593334655822257
HGG_Patient1,T1,original,SmallAreaEmphasis,0.5645641062890262
HGG_Patient1,T1,original,SmallAreaHighGrayLevelEmphasis,41.878042133263534
HGG_Patient1,T1,original,SmallAreaLowGrayLevelEmphasis,0.015121049000802737
HGG_Patient1,T1,original,ZoneEntropy,5.561262919505251
HGG_Patient1,T1,original,ZonePercentage,0.07864421798848029
HGG_Patient1,T1,original,ZoneVariance,3233.612013489387
HGG_Patient1,T1,original,Busyness,2.6176284974486084
HGG_Patient1,T1,original,Coarseness,0.003215755343778347
HGG_Patient1,T1,original,Complexity,38.23986552430849
HGG_Patient1,T1,original,Contrast,0.015349542350570481
HGG_Patient1,T1,original,Strength,0.27197751179416935
HGG_Patient1,T1CE,original,Elongation,0.3323803674167271
HGG_Patient1,T1CE,original,Flatness,0.17979012477577555
HGG_Patient1,T1CE,original,LeastAxisLength,15.539236626169968
HGG_Patient1,T1CE,original,MajorAxisLength,86.4298672997177
HGG_Patient1,T1CE,original,Maximum2DDiameterColumn,44.204072210600685
HGG_Patient1,T1CE,original,Maximum2DDiameterRow,66.75327707311455
HGG_Patient1,T1CE,original,Maximum2DDiameterSlice,62.64982043070834
HGG_Patient1,T1CE,original,Maximum3DDiameter,80.77747210701756
HGG_Patient1,T1CE,original,MeshVolume,4015.5416666666665
HGG_Patient1,T1CE,original,MinorAxisLength,28.727591048859136
HGG_Patient1,T1CE,original,Sphericity,0.23257490052796545
HGG_Patient1,T1CE,original,SurfaceArea,5253.120604289723
HGG_Patient1,T1CE,original,SurfaceVolumeRatio,1.3081972596365512
HGG_Patient1,T1CE,original,VoxelVolume,4514.0
HGG_Patient1,T1CE,original,10Percentile,207.0
HGG_Patient1,T1CE,original,90Percentile,448.0
HGG_Patient1,T1CE,original,Energy,536865779.0
HGG_Patient1,T1CE,original,Entropy,3.834394060043503
HGG_Patient1,T1CE,original,InterquartileRange,136.0
HGG_Patient1,T1CE,original,Kurtosis,2.9065051541336633
HGG_Patient1,T1CE,original,Maximum,861.0
HGG_Patient1,T1CE,original,MeanAbsoluteDeviation,74.53751367527087
HGG_Patient1,T1CE,original,Mean,332.7281789986708
HGG_Patient1,T1CE,original,Median,337.0
HGG_Patient1,T1CE,original,Minimum,130.0
HGG_Patient1,T1CE,original,Range,731.0
HGG_Patient1,T1CE,original,RobustMeanAbsoluteDeviation,55.5565717414822
HGG_Patient1,T1CE,original,RootMeanSquared,344.86735296151136
HGG_Patient1,T1CE,original,Skewness,0.17893789226262183
HGG_Patient1,T1CE,original,TotalEnergy,536865779.0
HGG_Patient1,T1CE,original,Uniformity,0.07708769585844187
HGG_Patient1,T1CE,original,Variance,8225.450038908146
HGG_Patient1,T1CE,original,Autocorrelation,66.07208722055671
HGG_Patient1,T1CE,original,ClusterProminence,3456.4855384569164
HGG_Patient1,T1CE,original,ClusterShade,48.07146859494875
HGG_Patient1,T1CE,original,ClusterTendency,36.41354378007152
HGG_Patient1,T1CE,original,Contrast,10.89430321656356
HGG_Patient1,T1CE,original,Correlation,0.5400233798228801
HGG_Patient1,T1CE,original,DifferenceAverage,2.454944972529422
HGG_Patient1,T1CE,original,DifferenceEntropy,2.88467392421905
HGG_Patient1,T1CE,original,DifferenceVariance,4.799598181056026
HGG_Patient1,T1CE,original,Id,0.4303194049632054
HGG_Patient1,T1CE,original,Idm,0.3540002907722272
HGG_Patient1,T1CE,original,Idmn,0.9884481123850785
HGG_Patient1,T1CE,original,Idn,0.9283232979083345
HGG_Patient1,T1CE,original,Imc1,-0.0942295644333593
HGG_Patient1,T1CE,original,Imc2,0.6994046083575822
HGG_Patient1,T1CE,original,InverseVariance,0.3336582136091497
HGG_Patient1,T1CE,original,JointAverage,7.725689363509897
HGG_Patient1,T1CE,original,JointEnergy,0.009885530656790022
HGG_Patient1,T1CE,original,JointEntropy,7.099651894636082
HGG_Patient1,T1CE,original,MCC,0.6887494006300929
HGG_Patient1,T1CE,original,MaximumProbability,0.03131736771562864
HGG_Patient1,T1CE,original,SumAverage,15.451378727019792
HGG_Patient1,T1CE,original,SumEntropy,4.5449008872384065
HGG_Patient1,T1CE,original,SumSquares,11.826961749158768
HGG_Patient1,T1CE,original,DependenceEntropy,6.51619533482941
HGG_Patient1,T1CE,original,DependenceNonUniformity,713.1125387682765
HGG_Patient1,T1CE,original,DependenceNonUniformityNormalized,0.1579779660541153
HGG_Patient1,T1CE,original,DependenceVariance,9.08939980750087
HGG_Patient1,T1CE,original,GrayLevelNonUniformity,347.9738591050066
HGG_Patient1,T1CE,original,GrayLevelVariance,13.215488504331232
HGG_Patient1,T1CE,original,HighGrayLevelEmphasis,91.22108994240142
HGG_Patient1,T1CE,original,LargeDependenceEmphasis,22.541426672574215
HGG_Patient1,T1CE,original,LargeDependenceHighGrayLevelEmphasis,960.8657509968986
HGG_Patient1,T1CE,original,LargeDependenceLowGrayLevelEmphasis,1.35438821494547
HGG_Patient1,T1CE,original,LowGrayLevelEmphasis,0.02908513658119395
HGG_Patient1,T1CE,original,SmallDependenceEmphasis,0.29005383496640846
HGG_Patient1,T1CE,original,SmallDependenceHighGrayLevelEmphasis,36.49489701596362
HGG_Patient1,T1CE,original,SmallDependenceLowGrayLevelEmphasis,0.005671059941662203
HGG_Patient1,T1CE,original,GrayLevelNonUniformity,314.47226859593013
HGG_Patient1,T1CE,original,GrayLevelNonUniformityNormalized,0.07763730071873545
HGG_Patient1,T1CE,original,GrayLevelVariance,12.90673609489253
HGG_Patient1,T1CE,original,HighGrayLevelRunEmphasis,95.19450512655239
HGG_Patient1,T1CE,original,LongRunEmphasis,1.399245073093116
HGG_Patient1,T1CE,original,LongRunHighGrayLevelEmphasis,116.26780776690354
HGG_Patient1,T1CE,original,LongRunLowGrayLevelEmphasis,0.04722310589727212
HGG_Patient1,T1CE,original,LowGrayLevelRunEmphasis,0.027033223518739987
HGG_Patient1,T1CE,original,RunEntropy,4.317090379411176
HGG_Patient1,T1CE,original,RunLengthNonUniformity,3350.7055425201474
HGG_Patient1,T1CE,original,RunLengthNonUniformityNormalized,0.8265160904744325
HGG_Patient1,T1CE,original,RunPercentage,0.8973961351010531
HGG_Patient1,T1CE,original,RunVariance,0.1555255040758104
HGG_Patient1,T1CE,original,ShortRunEmphasis,0.9266853873561188
HGG_Patient1,T1CE,original,ShortRunHighGrayLevelEmphasis,90.7201873904832
HGG_Patient1,T1CE,original,ShortRunLowGrayLevelEmphasis,0.02388697572828313
HGG_Patient1,T1CE,original,GrayLevelNonUniformity,124.80990099009901
HGG_Patient1,T1CE,original,GrayLevelNonUniformityNormalized,0.08238277293075842
HGG_Patient1,T1CE,original,GrayLevelVariance,12.94051171453779
HGG_Patient1,T1CE,original,HighGrayLevelZoneEmphasis,126.05742574257425
HGG_Patient1,T1CE,original,LargeAreaEmphasis,88.09372937293729
HGG_Patient1,T1CE,original,LargeAreaHighGrayLevelEmphasis,3110.801320132013
HGG_Patient1,T1CE,original,LargeAreaLowGrayLevelEmphasis,5.476655354421939
HGG_Patient1,T1CE,original,LowGrayLevelZoneEmphasis,0.020117996151990558
HGG_Patient1,T1CE,original,SizeZoneNonUniformity,582.8389438943894
HGG_Patient1,T1CE,original,SizeZoneNonUniformityNormalized,0.3847121741877158
HGG_Patient1,T1CE,original,SmallAreaEmphasis,0.6443281813277096
HGG_Patient1,T1CE,original,SmallAreaHighGrayLevelEmphasis,88.34690228881992
HGG_Patient1,T1CE,original,SmallAreaLowGrayLevelEmphasis,0.011571316154591027
HGG_Patient1,T1CE,original,ZoneEntropy,5.815391985494416
HGG_Patient1,T1CE,original,ZonePercentage,0.3356225077536553
HGG_Patient1,T1CE,original,ZoneVariance,79.21608295483014
HGG_Patient1,T1CE,original,Busyness,1.7945596661175123
HGG_Patient1,T1CE,original,Coarseness,0.0019284697874354774
HGG_Patient1,T1CE,original,Complexity,608.3652829800892
HGG_Patient1,T1CE,original,Contrast,0.06325635514517271
HGG_Patient1,T1CE,original,Strength,0.7473583455368396
HGG_Patient1,T2,original,Elongation,0.3323803674167271
HGG_Patient1,T2,original,Flatness,0.17979012477577555
HGG_Patient1,T2,original,LeastAxisLength,15.539236626169968
HGG_Patient1,T2,original,MajorAxisLength,86.4298672997177
HGG_Patient1,T2,original,Maximum2DDiameterColumn,44.204072210600685
HGG_Patient1,T2,original,Maximum2DDiameterRow,66.75327707311455
HGG_Patient1,T2,original,Maximum2DDiameterSlice,62.64982043070834
HGG_Patient1,T2,original,Maximum3DDiameter,80.77747210701756
HGG_Patient1,T2,original,MeshVolume,4015.5416666666665
HGG_Patient1,T2,original,MinorAxisLength,28.727591048859136
HGG_Patient1,T2,original,Sphericity,0.23257490052796545
HGG_Patient1,T2,original,SurfaceArea,5253.120604289723
HGG_Patient1,T2,original,SurfaceVolumeRatio,1.3081972596365512
HGG_Patient1,T2,original,VoxelVolume,4514.0
HGG_Patient1,T2,original,10Percentile,561.0
HGG_Patient1,T2,original,90Percentile,803.0
HGG_Patient1,T2,original,Energy,2100524180.0
HGG_Patient1,T2,original,Entropy,3.9650986142823976
HGG_Patient1,T2,original,InterquartileRange,119.0
HGG_Patient1,T2,original,Kurtosis,3.3403913320345207
HGG_Patient1,T2,original,Maximum,1035.0
HGG_Patient1,T2,original,MeanAbsoluteDeviation,74.5012064077122
HGG_Patient1,T2,original,Mean,675.4373061586176
HGG_Patient1,T2,original,Median,668.0
HGG_Patient1,T2,original,Minimum,379.0
HGG_Patient1,T2,original,Range,656.0
HGG_Patient1,T2,original,RobustMeanAbsoluteDeviation,50.26579289971453
HGG_Patient1,T2,original,RootMeanSquared,682.1549976733197
HGG_Patient1,T2,original,Skewness,0.3159424500494958
HGG_Patient1,T2,original,TotalEnergy,2100524180.0
HGG_Patient1,T2,original,Uniformity,0.07718261053240753
HGG_Patient1,T2,original,Variance,9119.886299876582
HGG_Patient1,T2,original,Autocorrelation,195.69035726096823
HGG_Patient1,T2,original,ClusterProminence,7975.842337917439
HGG_Patient1,T2,original,ClusterShade,128.72210172168246
HGG_Patient1,T2,original,ClusterTendency,51.24690699361838
HGG_Patient1,T2,original,Contrast,5.258088865517061
HGG_Patient1,T2,original,Correlation,0.8143389659216731
HGG_Patient1,T2,original,DifferenceAverage,1.7088484378418025
HGG_Patient1,T2,original,DifferenceEntropy,2.3890166103620203
HGG_Patient1,T2,original,DifferenceVariance,2.2603296780955455
HGG_Patient1,T2,original,Id,0.4970191985377032
HGG_Patient1,T2,original,Idm,0.4345438095573209
HGG_Patient1,T2,original,Idmn,0.9929941288370827
HGG_Patient1,T2,original,Idn,0.9429824014305197
HGG_Patient1,T2,original,Imc1,-0.22969986362911407
HGG_Patient1,T2,original,Imc2,0.9055212569208023
HGG_Patient1,T2,original,InverseVariance,0.415149155082478
HGG_Patient1,T2,original,JointAverage,13.571118207873486
HGG_Patient1,T2,original,JointEnergy,0.011969048130986898
HGG_Patient1,T2,original,JointEntropy,6.948746572036247
HGG_Patient1,T2,original,MCC,0.8351726392973049
HGG_Patient1,T2,original,MaximumProbability,0.028367192975946646
HGG_Patient1,T2,original,SumAverage,27.142236415746957
HGG_Patient1,T2,original,SumEntropy,4.848660379801114
HGG_Patient1,T2,original,SumSquares,14.126248964783857
HGG_Patient1,T2,original,DependenceEntropy,6.971860931046705
HGG_Patient1,T2,original,DependenceNonUniformity,585.4195835179441
HGG_Patient1,T2,original,DependenceNonUniformityNormalized,0.12968976152369166
HGG_Patient1,T2,original,DependenceVariance,5.90729201858875
HGG_Patient1,T2,original,GrayLevelNonUniformity,348.40230394328756
HGG_Patient1,T2,original,GrayLevelVariance,14.780071412740632
HGG_Patient1,T2,original,HighGrayLevelEmphasis,172.03411608329642
HGG_Patient1,T2,original,LargeDependenceEmphasis,24.71067789100576
HGG_Patient1,T2,original,LargeDependenceHighGrayLevelEmphasis,4319.198936641559
HGG_Patient1,T2,original,LargeDependenceLowGrayLevelEmphasis,0.19372442087655048
HGG_Patient1,T2,original,LowGrayLevelEmphasis,0.010646749555957716
HGG_Patient1,T2,original,SmallDependenceEmphasis,0.1682869579474582
HGG_Patient1,T2,original,SmallDependenceHighGrayLevelEmphasis,24.60063636410963
HGG_Patient1,T2,original,SmallDependenceLowGrayLevelEmphasis,0.0031326003238872618
HGG_Patient1,T2,original,GrayLevelNonUniformity,298.4991314722191
HGG_Patient1,T2,original,GrayLevelNonUniformityNormalized,0.07584811061507377
HGG_Patient1,T2,original,GrayLevelVariance,15.247192923295332
HGG_Patient1,T2,original,HighGrayLevelRunEmphasis,171.27416763811596
HGG_Patient1,T2,original,LongRunEmphasis,1.5005934892305897
HGG_Patient1,T2,original,LongRunHighGrayLevelEmphasis,259.5576277979041
HGG_Patient1,T2,original,LongRunLowGrayLevelEmphasis,0.015056138132277689
HGG_Patient1,T2,original,LowGrayLevelRunEmphasis,0.011033716004828333
HGG_Patient1,T2,original,RunEntropy,4.599811264493019
HGG_Patient1,T2,original,RunLengthNonUniformity,3061.27359370263
HGG_Patient1,T2,original,RunLengthNonUniformityNormalized,0.7762183057782112
HGG_Patient1,T2,original,RunPercentage,0.871681265123888
HGG_Patient1,T2,original,RunVariance,0.17855670972382967
HGG_Patient1,T2,original,ShortRunEmphasis,0.9023519042117623
HGG_Patient1,T2,original,ShortRunHighGrayLevelEmphasis,153.8760590895656
HGG_Patient1,T2,original,ShortRunLowGrayLevelEmphasis,0.010247889481777765
HGG_Patient1,T2,original,GrayLevelNonUniformity,59.44522144522144
HGG_Patient1,T2,original,GrayLevelNonUniformityNormalized,0.06928347487788047
HGG_Patient1,T2,original,GrayLevelVariance,19.397271531886915
HGG_Patient1,T2,original,HighGrayLevelZoneEmphasis,140.1153846153846
HGG_Patient1,T2,original,LargeAreaEmphasis,185.66899766899766
HGG_Patient1,T2,original,LargeAreaHighGrayLevelEmphasis,33130.21445221445
HGG_Patient1,T2,original,LargeAreaLowGrayLevelEmphasis,1.2638348867419182
HGG_Patient1,T2,original,LowGrayLevelZoneEmphasis,0.01944844118295666
HGG_Patient1,T2,original,SizeZoneNonUniformity,227.62470862470863
HGG_Patient1,T2,original,SizeZoneNonUniformityNormalized,0.2652968631989611
HGG_Patient1,T2,original,SmallAreaEmphasis,0.5273963405995437
HGG_Patient1,T2,original,SmallAreaHighGrayLevelEmphasis,66.866333800953
HGG_Patient1,T2,original,SmallAreaLowGrayLevelEmphasis,0.012607884512925532
HGG_Patient1,T2,original,ZoneEntropy,6.5498084178165445
